id,ord_in_trial,start_time,stop_time,trial_id,x,y,image_index,image_path
75,5,85.705675,86.225675,12,-10.693326287425421,-5.9050547672551845,940.0,Stimuli/60028ce7be02f92cd8c395f44a49b771.png
76,0,87.020875,87.080875,13,-4.474825306433672,2.2279795849515693,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
77,1,87.123875,87.312875,13,-2.081685960505881,1.9396603283317762,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
78,2,87.358875,87.505875,13,1.572661333040682,3.1835269483751607,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
79,3,87.55787500000001,87.704875,13,9.749055658572335,3.780879986194189,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
80,4,87.75387500000001,87.895875,13,1.3726949641885875,3.39755794907049,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
81,5,87.92087500000001,88.39687500000001,13,2.2553296589974945,3.262530877344415,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
82,6,88.44787500000001,88.579875,13,4.6929623954712465,-3.235273690694761,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
83,7,88.604875,88.767875,13,5.620649391889475,-3.538901659979855,203.0,Stimuli/2d53af906878920fd17ea0aaf729f7dc.png
84,0,89.4733,89.7723,14,0.12274902589609474,1.5076321528124808,882.0,Stimuli/52e2349bde0372fa273e0b3af72f7fc7.png
85,1,89.81729999999999,89.9493,14,5.37417441104578,2.482292520636688,882.0,Stimuli/52e2349bde0372fa273e0b3af72f7fc7.png
86,2,89.9953,90.06129999999999,14,0.9205059177180516,-1.0456199874559284,882.0,Stimuli/52e2349bde0372fa273e0b3af72f7fc7.png
87,0,91.9192,92.2472,15,-2.032189628211436,0.8587314593743166,521.0,Stimuli/90d134de6bd651d03b5aa5be63288280.png
88,1,92.29220000000001,92.39020000000001,15,-0.25832174699666954,5.031081090807503,521.0,Stimuli/90d134de6bd651d03b5aa5be63288280.png
89,2,92.4222,92.8972,15,0.5697932681700953,5.9823515855882805,521.0,Stimuli/90d134de6bd651d03b5aa5be63288280.png
90,3,92.95020000000001,93.1772,15,-7.3143436054449325,4.4798356306561695,521.0,Stimuli/90d134de6bd651d03b5aa5be63288280.png
91,4,93.2352,93.5292,15,-2.9788280189044007,-3.9945825221592957,521.0,Stimuli/90d134de6bd651d03b5aa5be63288280.png
92,0,94.3709,94.70190000000001,16,-2.5008065171500515,0.9858508355786074,140.0,Stimuli/2d65e5cefd18a65c26d396a0bb0ffae2.png
93,1,94.7489,94.8589,16,2.366863680633779,5.588726350362755,140.0,Stimuli/2d65e5cefd18a65c26d396a0bb0ffae2.png
94,2,94.89590000000001,95.2009,16,2.886228128630719,7.914999554337539,140.0,Stimuli/2d65e5cefd18a65c26d396a0bb0ffae2.png
95,3,95.26190000000001,95.46990000000001,16,-5.043307559032621,0.548161252573299,140.0,Stimuli/2d65e5cefd18a65c26d396a0bb0ffae2.png
96,0,96.8142,97.1432,17,-2.0831233193322283,3.0897127058456753,865.0,Stimuli/9cb02ede87e929e85b7c7decae7595a4.png
97,1,97.1822,97.3632,17,-2.0369614002730434,-0.058969314487663044,865.0,Stimuli/9cb02ede87e929e85b7c7decae7595a4.png
98,2,97.4152,97.4782,17,5.302981894864693,0.06353211843578584,865.0,Stimuli/9cb02ede87e929e85b7c7decae7595a4.png
99,3,97.51219999999999,97.6462,17,5.62900419828415,2.098933851147537,865.0,Stimuli/9cb02ede87e929e85b7c7decae7595a4.png
100,4,97.6982,97.9162,17,4.898774208211135,-7.506451107359931,865.0,Stimuli/9cb02ede87e929e85b7c7decae7595a4.png
101,5,97.9692,98.1242,17,-2.090011968025548,-0.9078291550132028,865.0,Stimuli/9cb02ede87e929e85b7c7decae7595a4.png
102,6,98.1772,98.4932,17,6.003848933108884,3.0442229760937676,865.0,Stimuli/9cb02ede87e929e85b7c7decae7595a4.png
103,0,99.318375,99.347375,18,21.0,-16.0,108.0,Stimuli/0240cea3b823abac6f182da77fc405ab.png
104,1,99.395375,99.580375,18,3.997737911293724,3.2401768942661993,108.0,Stimuli/0240cea3b823abac6f182da77fc405ab.png
105,2,99.615375,99.750375,18,-0.326341724729426,1.9158524382405255,108.0,Stimuli/0240cea3b823abac6f182da77fc405ab.png
106,3,99.792375,100.007375,18,5.751567580281244,-1.777844918247851,108.0,Stimuli/0240cea3b823abac6f182da77fc405ab.png
107,4,100.052375,100.174375,18,10.38018020628812,-8.55240224525184,108.0,Stimuli/0240cea3b823abac6f182da77fc405ab.png
108,5,100.215375,100.294375,18,4.469204888236654,-6.232505540330978,108.0,Stimuli/0240cea3b823abac6f182da77fc405ab.png
109,0,101.736125,101.911125,19,-3.4422945013036914,-1.1366061731272807,690.0,Stimuli/5161eca333e1154d984b7f0b3a2ea831.png
110,1,101.958125,102.067125,19,0.574479877337969,4.411299925567818,690.0,Stimuli/5161eca333e1154d984b7f0b3a2ea831.png
111,2,102.111125,102.286125,19,5.507426210290444,1.8851103301617835,690.0,Stimuli/5161eca333e1154d984b7f0b3a2ea831.png
112,3,102.334125,102.730125,19,6.682626845685134,-6.068549202385514,690.0,Stimuli/5161eca333e1154d984b7f0b3a2ea831.png
113,4,102.778125,102.891125,19,-2.430995407189843,-3.7565263428085687,690.0,Stimuli/5161eca333e1154d984b7f0b3a2ea831.png
114,0,104.188075,104.29107499999999,20,-6.355296043110776,3.1846019203376605,977.0,Stimuli/cc8a21d327df3ad2cdb0587480b41dc8.png
115,1,104.369075,104.51107499999999,20,2.841801391337354,2.2748713060920296,977.0,Stimuli/cc8a21d327df3ad2cdb0587480b41dc8.png
116,2,104.557075,104.624075,20,0.7135501451731814,1.4547626297677234,977.0,Stimuli/cc8a21d327df3ad2cdb0587480b41dc8.png
117,3,104.664075,104.851075,20,0.7318550768468282,5.052296770686498,977.0,Stimuli/cc8a21d327df3ad2cdb0587480b41dc8.png
118,4,104.897075,105.03207499999999,20,1.163902656752817,-1.5505678588024183,977.0,Stimuli/cc8a21d327df3ad2cdb0587480b41dc8.png
119,5,105.081075,105.162075,20,-6.751214711473509,0.4274589431269665,977.0,Stimuli/cc8a21d327df3ad2cdb0587480b41dc8.png
120,0,106.6358,106.69080000000001,21,-21.0,5.177455472576259,359.0,Stimuli/d971784a872218c85ddbd7d7e661d567.png
121,1,106.75880000000001,106.9338,21,-2.549553376716843,0.33936536504632653,359.0,Stimuli/d971784a872218c85ddbd7d7e661d567.png
122,2,106.9718,107.1898,21,1.2556963831021721,0.9720205118713539,359.0,Stimuli/d971784a872218c85ddbd7d7e661d567.png
123,3,107.23780000000001,107.38680000000001,21,-0.7276951605094891,7.68960706536184,359.0,Stimuli/d971784a872218c85ddbd7d7e661d567.png
124,4,107.4278,107.7238,21,1.8080644558544372,0.9935502680025444,359.0,Stimuli/d971784a872218c85ddbd7d7e661d567.png
125,5,107.76480000000001,108.2068,21,-0.3875114317830781,7.865927871332336,359.0,Stimuli/d971784a872218c85ddbd7d7e661d567.png
126,6,108.24980000000001,108.50880000000001,21,1.8840833217279935,1.6039553371922328,359.0,Stimuli/d971784a872218c85ddbd7d7e661d567.png
127,0,109.0773,109.1433,22,-1.1095933479772762,6.054122634566842,127.0,Stimuli/fdaaa80ecacd2c19acfee44aaf1c95a2.png
128,1,109.19529999999999,109.40629999999999,22,2.0247101982014195,2.2488207921606436,127.0,Stimuli/fdaaa80ecacd2c19acfee44aaf1c95a2.png
129,2,109.44529999999999,109.5533,22,2.845249487126042,-0.940627443065921,127.0,Stimuli/fdaaa80ecacd2c19acfee44aaf1c95a2.png
130,3,109.6013,109.8163,22,9.896951072516842,3.0549444038713993,127.0,Stimuli/fdaaa80ecacd2c19acfee44aaf1c95a2.png
131,4,109.8693,110.1523,22,11.327068711754011,-6.025956793810451,127.0,Stimuli/fdaaa80ecacd2c19acfee44aaf1c95a2.png
132,5,110.1933,110.30229999999999,22,11.529277178132686,-8.675593297795269,127.0,Stimuli/fdaaa80ecacd2c19acfee44aaf1c95a2.png
133,0,111.5247,111.7747,23,0.18999396074112812,-1.013638588051275,873.0,Stimuli/be5971b2afb0b35a40124ba9afed46c2.png
134,1,111.8227,111.88969999999999,23,-1.2801607394353414,0.5472596278121985,873.0,Stimuli/be5971b2afb0b35a40124ba9afed46c2.png
135,2,111.9337,112.0137,23,2.3093243525167537,1.5038841572658381,873.0,Stimuli/be5971b2afb0b35a40124ba9afed46c2.png
136,3,112.0427,112.1707,23,2.1154204844397517,2.2588598422234383,873.0,Stimuli/be5971b2afb0b35a40124ba9afed46c2.png
137,4,112.22269999999999,112.3697,23,-0.4423843330096472,-4.836290827006502,873.0,Stimuli/be5971b2afb0b35a40124ba9afed46c2.png
138,5,112.4217,112.5857,23,-9.331642281309053,-7.726264524272657,873.0,Stimuli/be5971b2afb0b35a40124ba9afed46c2.png
139,0,113.965375,114.007375,24,-2.2346188166020564,-0.4423765776693571,231.0,Stimuli/9c3d912b2534e088f41b9d8baf8825df.png
140,1,114.04137499999999,114.266375,24,-2.896872756993328,1.0820053543256416,231.0,Stimuli/9c3d912b2534e088f41b9d8baf8825df.png
141,2,114.30937499999999,114.441375,24,-2.5595826171192,5.020170172103323,231.0,Stimuli/9c3d912b2534e088f41b9d8baf8825df.png
142,3,114.489375,114.78837499999999,24,-12.147099770713117,4.520548159996632,231.0,Stimuli/9c3d912b2534e088f41b9d8baf8825df.png
143,4,114.835375,115.04537499999999,24,-7.803804118420471,-2.1562202172101848,231.0,Stimuli/9c3d912b2534e088f41b9d8baf8825df.png
144,0,116.409525,116.513525,25,-8.489571337732135,4.898802543057396,439.0,Stimuli/ac06fe1aa9dc7dd45d02088c640aceac.png
145,1,116.581525,116.72052500000001,25,-1.2500032351511239,3.9538552043693724,439.0,Stimuli/ac06fe1aa9dc7dd45d02088c640aceac.png
146,2,116.770525,117.129525,25,-0.5556337519046722,-0.05111793516225088,439.0,Stimuli/ac06fe1aa9dc7dd45d02088c640aceac.png
147,3,117.162525,117.361525,25,-0.2505156610683895,-0.45100453107769445,439.0,Stimuli/ac06fe1aa9dc7dd45d02088c640aceac.png
148,4,117.393525,117.665525,25,-0.37199960274634075,0.0015905157545769678,439.0,Stimuli/ac06fe1aa9dc7dd45d02088c640aceac.png
149,5,117.707525,118.122525,25,-0.31517331643765717,-0.8660412820184362,439.0,Stimuli/ac06fe1aa9dc7dd45d02088c640aceac.png
150,0,118.877225,119.187225,26,-1.7222573965489496,2.982272924430862,982.0,Stimuli/9b449992b4adfa44d954fbba0b9293d6.png
151,1,119.22422499999999,119.359225,26,0.3419186893505003,3.331393844432358,982.0,Stimuli/9b449992b4adfa44d954fbba0b9293d6.png
152,2,119.410225,119.563225,26,7.967495652545234,0.16596424581580813,982.0,Stimuli/9b449992b4adfa44d954fbba0b9293d6.png
153,3,119.601225,119.717225,26,9.547472121596273,-0.574304670836848,982.0,Stimuli/9b449992b4adfa44d954fbba0b9293d6.png
154,4,119.752225,119.917225,26,8.646368012481817,-0.0013377726249982486,982.0,Stimuli/9b449992b4adfa44d954fbba0b9293d6.png
155,5,119.96522499999999,120.068225,26,8.398961962870066,7.8392277419848995,982.0,Stimuli/9b449992b4adfa44d954fbba0b9293d6.png
156,6,120.100225,120.28422499999999,26,8.897689621447052,8.865008215420968,982.0,Stimuli/9b449992b4adfa44d954fbba0b9293d6.png
157,0,121.316125,121.382125,27,-7.3093945514461796,8.423201722683636,83.0,Stimuli/7d0325e97f1b760601dd49aaa8458168.png
